symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQZ5,-2,0,0.25,163781410766,163781410701,1,25271.00,25271.50,$1.00,12/01/2025 16:33:05,12/01/2025 16:19:49,13min 16sec
MNQZ5,-2,0,0.25,163781410771,163781410701,1,25292.00,25271.50,$(41.00),12/01/2025 16:33:29,12/01/2025 16:19:49,13min 40sec
MNQZ5,-2,0,0.25,163781410818,163781410794,1,25244.50,25270.75,$52.50,12/01/2025 16:44:40,12/01/2025 16:40:02,4min 37sec
MGCG6,-1,0,0.1,163781410835,163781410735,1,4277.3,4276.6,$(7.00),12/01/2025 17:00:00,12/01/2025 16:22:08,37min 51sec
MGCG6,-1,0,0.1,163781410876,163781410850,1,4260.5,4274.5,$140.00,12/01/2025 17:16:32,12/01/2025 17:01:46,14min 45sec
MGCG6,-1,0,0.1,163781410898,163781410850,1,4261.8,4274.5,$127.00,12/01/2025 17:17:12,12/01/2025 17:01:46,15min 26sec
MNQZ5,-2,0,0.25,163781410942,163781410910,1,25359.25,25378.75,$39.00,12/01/2025 18:12:55,12/01/2025 18:07:16,5min 39sec
MNQZ5,-2,0,0.25,163781410979,163781410961,2,25384.50,25414.25,$119.00,12/02/2025 01:10:37,12/02/2025 01:04:35,6min 1sec
MNQZ5,-2,0,0.25,163781411001,163781410961,2,25384.75,25414.25,$118.00,12/02/2025 01:11:54,12/02/2025 01:04:35,7min 18sec
MGCG6,-1,0,0.1,163781411024,163781411052,3,4247.0,4245.6,$(42.00),12/02/2025 10:22:55,12/02/2025 10:30:12,7min 16sec
MGCG6,-1,0,0.1,163781411013,163781411052,1,4247.0,4245.6,$(14.00),12/02/2025 10:22:55,12/02/2025 10:30:12,7min 16sec
MGCG6,-1,0,0.1,163781411091,163781411080,1,4251.8,4247.1,$(47.00),12/02/2025 16:46:57,12/02/2025 16:45:47,1min 9sec
MGCG6,-1,0,0.1,163781411091,163781411069,1,4251.8,4247.1,$(47.00),12/02/2025 16:46:57,12/02/2025 16:45:47,1min 9sec
MGCG6,-1,0,0.1,163781411091,163781411066,1,4251.8,4247.1,$(47.00),12/02/2025 16:46:57,12/02/2025 16:45:47,1min 9sec
MGCG6,-1,0,0.1,163781411110,163781411128,3,4252.2,4250.5,$(51.00),12/02/2025 16:47:13,12/02/2025 16:53:29,6min 16sec
MGCG6,-1,0,0.1,163781411145,163781411128,3,4253.3,4250.5,$(84.00),12/02/2025 16:55:49,12/02/2025 16:53:29,2min 19sec
MGCG6,-1,0,0.1,163781411145,163781411157,3,4253.3,4252.2,$(33.00),12/02/2025 16:55:49,12/02/2025 16:55:56,7sec
MNQZ5,-2,0,0.25,163781411222,163781411176,4,25643.00,25660.00,$136.00,12/03/2025 10:19:17,12/03/2025 10:07:44,11min 33sec
MNQZ5,-2,0,0.25,163781411243,163781411176,4,25633.50,25660.00,$212.00,12/03/2025 10:22:47,12/03/2025 10:07:44,15min 3sec
MNQZ5,-2,0,0.25,163781411270,163781411297,1,25467.75,25467.75,$0.00,12/03/2025 16:17:17,12/03/2025 16:18:58,1min 41sec
MNQZ5,-2,0,0.25,163781411312,163781411342,1,25469.50,25470.25,$1.50,12/03/2025 16:21:11,12/03/2025 16:30:24,9min 13sec
MNQZ5,-2,0,0.25,163781411312,163781411372,1,25469.50,25513.75,$88.50,12/03/2025 16:21:11,12/03/2025 16:33:24,12min 12sec
MGCG6,-1,0,0.1,163781411492,163781411465,2,4222.5,4222.5,$0.00,12/04/2025 07:25:48,12/04/2025 07:17:33,8min 15sec
MGCG6,-1,0,0.1,163781411492,163781411437,1,4222.5,4222.5,$0.00,12/04/2025 07:25:48,12/04/2025 07:17:33,8min 15sec
MGCG6,-1,0,0.1,163781411573,163781411562,4,4240.3,4237.4,$(116.00),12/04/2025 16:32:26,12/04/2025 16:30:38,1min 48sec
MGCG6,-1,0,0.1,163781411573,163781411551,1,4240.3,4237.4,$(29.00),12/04/2025 16:32:26,12/04/2025 16:30:38,1min 48sec
MNQZ5,-2,0,0.25,163781411688,163781411595,1,25612.75,25639.50,$53.50,12/05/2025 01:34:51,12/05/2025 01:05:36,29min 14sec
MNQZ5,-2,0,0.25,163781411697,163781411607,1,25612.75,25639.50,$53.50,12/05/2025 01:34:51,12/05/2025 01:05:36,29min 14sec
MNQZ5,-2,0,0.25,163781411706,163781411610,1,25612.75,25639.50,$53.50,12/05/2025 01:34:51,12/05/2025 01:05:36,29min 15sec
MNQZ5,-2,0,0.25,163781411715,163781411631,2,25612.75,25635.25,$90.00,12/05/2025 01:34:52,12/05/2025 01:09:14,25min 37sec
MNQZ5,-2,0,0.25,163781411715,163781411613,1,25612.75,25639.50,$53.50,12/05/2025 01:34:52,12/05/2025 01:05:36,29min 15sec
MGCG6,-1,0,0.1,163781411743,163781411767,1,4255.3,4253.1,$(22.00),12/05/2025 10:21:19,12/05/2025 10:30:43,9min 23sec
MGCG6,-1,0,0.1,163781411732,163781411767,1,4255.3,4253.1,$(22.00),12/05/2025 10:21:19,12/05/2025 10:30:43,9min 23sec
MGCG6,-1,0,0.1,163781411781,163781411796,2,4255.8,4253.7,$(42.00),12/05/2025 10:36:07,12/05/2025 10:38:47,2min 39sec
MNQZ5,-2,0,0.25,163781411863,163781411818,5,25808.50,25810.75,$22.50,12/08/2025 16:30:16,12/08/2025 16:22:07,8min 9sec
MNQZ5,-2,0,0.25,163781411893,163781411878,3,25847.00,25831.75,$(91.50),12/08/2025 16:32:46,12/08/2025 16:31:52,53sec
MNQZ5,-2,0,0.25,163781411931,163781411908,3,25824.25,25805.00,$(115.50),12/08/2025 16:43:10,12/08/2025 16:40:01,3min 8sec
MGCG6,-1,0,0.1,163781412004,163781411970,2,4216.4,4215.0,$(28.00),12/09/2025 07:02:58,12/09/2025 07:00:49,2min 9sec
MGCG6,-1,0,0.1,163781412004,163781411951,3,4216.4,4215.6,$(24.00),12/09/2025 07:02:58,12/09/2025 07:00:16,2min 42sec
MGCG6,-1,0,0.1,163781412055,163781412040,1,4216.2,4214.6,$(16.00),12/09/2025 10:37:31,12/09/2025 10:25:48,11min 42sec
MGCG6,-1,0,0.1,163781412055,163781412029,1,4216.2,4214.6,$(16.00),12/09/2025 10:37:31,12/09/2025 10:25:48,11min 42sec
MGCG6,-1,0,0.1,163781412055,163781412018,2,4216.2,4214.6,$(32.00),12/09/2025 10:37:31,12/09/2025 10:25:42,11min 48sec
MGCG6,-1,0,0.1,163781412095,163781412074,5,4215.9,4215.3,$(30.00),12/09/2025 10:39:24,12/09/2025 10:39:17,7sec
